,artist,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms
0,Eminem,Love The Way You Lie,15JINEqzVMv3SvJTAXAKED,0.749,0.925,10,-5.034,1,0.227,0,0.52,0.641,86.989,263373
1,Kesha,TiK ToK,0HPD5WQqrq7wPWR7P7Dw1i,0.755,0.837,2,-2.718,0,0.142,0,0.289,0.714,120.028,199693
2,Lady Gaga,Bad Romance,0SiywuOBRcynK0uKGWdCnn,0.696,0.921,0,-3.755,1,0.0363,5.24e-05,0.0842,0.714,119.001,294573
3,Train,"Hey, Soul Sister",4HlFJV71xXKIGcU3kRyttv,0.673,0.886,1,-4.44,0,0.0431,0,0.0826,0.795,97.012,216773
4,Robyn,Dancing On My Own,5vd5Xnm203ZmzulaK49zJw,0.687,0.865,6,-4.663,1,0.0349,0.225,0.0966,0.261,117.015,288670
5,Bruno Mars,Just the Way You Are,47Slg6LuqLaX0VodpSCvPt,0.637,0.843,5,-5.413,1,0.0432,0,0.0876,0.434,109.012,220733
6,Taio Cruz,Dynamite,2CEgGE6aESpnmtfiZwYlbV,0.751,0.783,4,-3.724,1,0.0859,0,0.036,0.816,119.975,202613
7,Rihanna,Man Down,1Bx0zEdVjkFlV27iKaePug,0.47,0.904,0,-4.024,0,0.177,0,0.0491,0.557,155.788,267000
8,Jay Sean,Down,7LP4Es66zdY7CyjepqmvAg,0.657,0.695,2,-4.493,1,0.0321,0,0.0822,0.683,65.997,212107
9,Stromae,Alors on danse,2GYHyAoLWpkxLVa4oYTVko,0.791,0.59,1,-9.206,0,0.0793,0.00203,0.065,0.714,119.951,206067
10,Owl City,Fireflies,3DamFFqW32WihKkTVlwTYQ,0.512,0.662,3,-6.797,1,0.0439,0,0.118,0.472,180.114,228347
11,Bruno Mars,Talking to the Moon,1wVuPmvt6AWvTL5W2GJnzZ,0.523,0.606,1,-4.754,0,0.0301,0,0.106,0.065,145.837,217867
12,Waka Flocka Flame,No Hands (feat. Roscoe Dash & Wale),6GgPsuz0HEO0nrO2T0QhDv,0.76,0.595,1,-6.366,1,0.0391,0,0.241,0.361,131.497,263773
