,track_id,track_name,track_artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,intervals
0,0017A6SJgTbfQVU2EtsPNo,Pangarap,Barbie's Cradle,0.682,0.401,2,-10.068,1,0.0236,0.27899999999999997,0.0117,0.0887,0.5660000000000001,97.09100000000001,235440,-2
1,004s3t0ONYlzxII9PLgU6z,I Feel Alive,Steady Rollin,0.303,0.88,9,-4.739,1,0.0442,0.0117,0.009940000000000001,0.34700000000000003,0.40399999999999997,135.225,373512,-1
2,00chLpzhgVjxs1zKC9UScL,Poison,Bell Biv DeVoe,0.845,0.652,6,-7.504,0,0.21600000000000005,0.00432,0.007229999999999999,0.489,0.65,111.904,262467,-2
3,00cqd6ZsSkLZqGMlQCR0Zo,Baby It's Cold Outside (feat. Christina Aguilera),CeeLo Green,0.425,0.37799999999999995,5,-5.819,0,0.0341,0.6890000000000001,0.0,0.0664,0.405,118.59299999999999,243067,-2
4,00emjlCv9azBN0fzuuyLqy,Dumb Litty,KARD,0.76,0.887,9,-1.993,1,0.0409,0.037000000000000005,0.0,0.138,0.24,130.018,193160,-1
5,00f9VGHfQhAHMCQ2bSjg3D,Soldier,James TW,0.496,0.639,6,-6.157,1,0.055,0.28,0.0,0.0975,0.305,147.764,224720,-2
6,00FROhC5g4iJdax5US8jRr,Satisfy You,Diddy,0.764,0.594,6,-10.05,1,0.185,0.591,0.0,0.145,0.695,87.26100000000002,286441,-2
7,00GfGwzlSB8DoA0cDP2Eit,Tender Lover,Babyface,0.743,0.86,5,-6.346,1,0.0445,0.226,0.00042199999999999996,0.0513,0.687,102.459,259267,-1
8,00Gu3RMpDW2vO9PjlMVFDL,Hide Away (feat. Envy Monroe),Blasterjaxx,0.573,0.746,10,-4.894,1,0.0421,0.0249,0.0,0.361,0.134,130.001,188000,-1
9,00GxbkrW4m1Tac5xySEJ4M,Ti volevo dedicare (feat. J-AX & Boomdabash),Rocco Hunt,0.754,0.725,8,-6.058,1,0.0661,0.0104,0.0,0.192,0.271,120.00200000000001,208133,-2
10,00hdjyXt6MohKnCyDmhxOL,Una Vaina Loca,Fuego,0.794,0.882,1,-5.5889999999999995,1,0.0361,0.114,7.979999999999999e-05,0.062,0.642,117.009,188213,-1
11,00HIh9mVUQQAycsQiciWsh,Limestone,Magic City Hippies,0.706,0.457,4,-9.359,1,0.0383,0.282,0.008490000000000001,0.0614,0.723,78.014,209165,-1
